"Provincia" "Municipio" "Partido" "VotosMuni" "PorcMuni" "Votos" "Porc" "VotosCCAA" "PorcCCAA"
"79" "AVILA" "AREVALO" "FEdelasJONS" 3 0.0750562922191644 79 0.0966904925095467 317 0.0261098541225153
"80" "AVILA" "AREVALO" "PACMA" 26 0.650487865899425 367 0.449182414569666 6508 0.536034481480536
"81" "AVILA" "AREVALO" "PCAS" 6 0.150112584438329 194 0.237442475276608 2834 0.233423743164696
"82" "AVILA" "AREVALO" "Podemos" 107 2.67700775581686 2984 3.65220797023402 61666 5.07914909879821
"83" "AVILA" "AREVALO" "PP" 1603 40.1050788091068 27829 34.060755899344 381498 31.4222622335374
"84" "AVILA" "AREVALO" "PSOE" 942 23.5676757568176 19764 24.1897581513757 364528 30.0245202005434
"85" "AVILA" "AREVALO" "PYC(ANULADA)" 0 0 0 0 0 0
"86" "AVILA" "AREVALO" "VOX" 884 22.1165874405804 14246 17.4361108391266 214223 17.6445781693615
"87" "AVILA" "AREVALO" "XAV" 285 7.13034776082062 13690 16.755605600705 13861 1.14166778546431
"88" "AVILA" "AREVALO" "Votos en blanco" 40 1.00075056292219 625 0.764956428081856 12153 1.00098756199031
"89" "AVILA" "AVEINTE" "Cs" 0 0 1926 2.35728972877705 54538 4.49204802565849
"90" "AVILA" "AVEINTE" "FEdelasJONS" 0 0 79 0.0966904925095467 317 0.0261098541225153
"91" "AVILA" "AVEINTE" "PACMA" 0 0 367 0.449182414569666 6508 0.536034481480536
"92" "AVILA" "AVEINTE" "PCAS" 0 0 194 0.237442475276608 2834 0.233423743164696
"93" "AVILA" "AVEINTE" "Podemos" 4 6.34920634920635 2984 3.65220797023402 61666 5.07914909879821
"94" "AVILA" "AVEINTE" "PP" 32 50.7936507936508 27829 34.060755899344 381498 31.4222622335374
"95" "AVILA" "AVEINTE" "PSOE" 11 17.4603174603175 19764 24.1897581513757 364528 30.0245202005434
"96" "AVILA" "AVEINTE" "PYC(ANULADA)" 0 0 0 0 0 0
"97" "AVILA" "AVEINTE" "VOX" 7 11.1111111111111 14246 17.4361108391266 214223 17.6445781693615
"98" "AVILA" "AVEINTE" "XAV" 9 14.2857142857143 13690 16.755605600705 13861 1.14166778546431
"99" "AVILA" "AVEINTE" "Votos en blanco" 0 0 625 0.764956428081856 12153 1.00098756199031
"100" "AVILA" "AVELLANEDA" "Cs" 0 0 1926 2.35728972877705 54538 4.49204802565849
"101" "AVILA" "AVELLANEDA" "FEdelasJONS" 0 0 79 0.0966904925095467 317 0.0261098541225153
"102" "AVILA" "AVELLANEDA" "PACMA" 0 0 367 0.449182414569666 6508 0.536034481480536
"103" "AVILA" "AVELLANEDA" "PCAS" 0 0 194 0.237442475276608 2834 0.233423743164696
"104" "AVILA" "AVELLANEDA" "Podemos" 1 5.26315789473684 2984 3.65220797023402 61666 5.07914909879821
"105" "AVILA" "AVELLANEDA" "PP" 6 31.5789473684211 27829 34.060755899344 381498 31.4222622335374
"106" "AVILA" "AVELLANEDA" "PSOE" 9 47.3684210526316 19764 24.1897581513757 364528 30.0245202005434
"107" "AVILA" "AVELLANEDA" "PYC(ANULADA)" 0 0 0 0 0 0
"108" "AVILA" "AVELLANEDA" "VOX" 1 5.26315789473684 14246 17.4361108391266 214223 17.6445781693615
"109" "AVILA" "AVELLANEDA" "XAV" 0 0 13690 16.755605600705 13861 1.14166778546431
"110" "AVILA" "AVELLANEDA" "Votos en blanco" 2 10.5263157894737 625 0.764956428081856 12153 1.00098756199031
"111" "AVILA" "AVILA" "Cs" 755 2.60695417975899 1926 2.35728972877705 54538 4.49204802565849
"112" "AVILA" "AVILA" "FEdelasJONS" 15 0.0517937916508408 79 0.0966904925095467 317 0.0261098541225153
"113" "AVILA" "AVILA" "PACMA" 147 0.50757915817824 367 0.449182414569666 6508 0.536034481480536
"114" "AVILA" "AVILA" "PCAS" 83 0.286592313801319 194 0.237442475276608 2834 0.233423743164696
"115" "AVILA" "AVILA" "Podemos" 993 3.42874900728566 2984 3.65220797023402 61666 5.07914909879821
"116" "AVILA" "AVILA" "PP" 7115 24.5675218397155 27829 34.060755899344 381498 31.4222622335374
"117" "AVILA" "AVILA" "PSOE" 6193 21.3839301129105 19764 24.1897581513757 364528 30.0245202005434
"118" "AVILA" "AVILA" "PYC(ANULADA)" 0 0 0 0 0 0
"119" "AVILA" "AVILA" "VOX" 4954 17.105762922551 14246 17.4361108391266 214223 17.6445781693615
"120" "AVILA" "AVILA" "XAV" 8482 29.2876627188288 13690 16.755605600705 13861 1.14166778546431
"121" "AVILA" "AVILA" "Votos en blanco" 224 0.773453955319222 625 0.764956428081856 12153 1.00098756199031
"122" "AVILA" "BARROMAN" "Cs" 0 0 1926 2.35728972877705 54538 4.49204802565849
"123" "AVILA" "BARROMAN" "FEdelasJONS" 0 0 79 0.0966904925095467 317 0.0261098541225153
"124" "AVILA" "BARROMAN" "PACMA" 1 0.72463768115942 367 0.449182414569666 6508 0.536034481480536
"125" "AVILA" "BARROMAN" "PCAS" 0 0 194 0.237442475276608 2834 0.233423743164696
"126" "AVILA" "BARROMAN" "Podemos" 3 2.17391304347826 2984 3.65220797023402 61666 5.07914909879821
"127" "AVILA" "BARROMAN" "PP" 56 40.5797101449275 27829 34.060755899344 381498 31.4222622335374
"128" "AVILA" "BARROMAN" "PSOE" 28 20.2898550724638 19764 24.1897581513757 364528 30.0245202005434
"129" "AVILA" "BARROMAN" "PYC(ANULADA)" 0 0 0 0 0 0
"130" "AVILA" "BARROMAN" "VOX" 29 21.0144927536232 14246 17.4361108391266 214223 17.6445781693615
"131" "AVILA" "BARROMAN" "XAV" 20 14.4927536231884 13690 16.755605600705 13861 1.14166778546431
"132" "AVILA" "BARROMAN" "Votos en blanco" 1 0.72463768115942 625 0.764956428081856 12153 1.00098756199031
"133" "AVILA" "BECEDAS" "Cs" 1 0.892857142857143 1926 2.35728972877705 54538 4.49204802565849
"134" "AVILA" "BECEDAS" "FEdelasJONS" 0 0 79 0.0966904925095467 317 0.0261098541225153
"135" "AVILA" "BECEDAS" "PACMA" 1 0.892857142857143 367 0.449182414569666 6508 0.536034481480536
"136" "AVILA" "BECEDAS" "PCAS" 1 0.892857142857143 194 0.237442475276608 2834 0.233423743164696
"137" "AVILA" "BECEDAS" "Podemos" 3 2.67857142857143 2984 3.65220797023402 61666 5.07914909879821
"138" "AVILA" "BECEDAS" "PP" 44 39.2857142857143 27829 34.060755899344 381498 31.4222622335374
"139" "AVILA" "BECEDAS" "PSOE" 23 20.5357142857143 19764 24.1897581513757 364528 30.0245202005434
"140" "AVILA" "BECEDAS" "PYC(ANULADA)" 0 0 0 0 0 0
"141" "AVILA" "BECEDAS" "VOX" 20 17.8571428571429 14246 17.4361108391266 214223 17.6445781693615
"142" "AVILA" "BECEDAS" "XAV" 19 16.9642857142857 13690 16.755605600705 13861 1.14166778546431
"143" "AVILA" "BECEDAS" "Votos en blanco" 0 0 625 0.764956428081856 12153 1.00098756199031
"144" "AVILA" "BECEDILLAS" "Cs" 0 0 1926 2.35728972877705 54538 4.49204802565849
"145" "AVILA" "BECEDILLAS" "FEdelasJONS" 0 0 79 0.0966904925095467 317 0.0261098541225153
"146" "AVILA" "BECEDILLAS" "PACMA" 0 0 367 0.449182414569666 6508 0.536034481480536
"147" "AVILA" "BECEDILLAS" "PCAS" 0 0 194 0.237442475276608 2834 0.233423743164696
"148" "AVILA" "BECEDILLAS" "Podemos" 0 0 2984 3.65220797023402 61666 5.07914909879821
"149" "AVILA" "BECEDILLAS" "PP" 30 53.5714285714286 27829 34.060755899344 381498 31.4222622335374
"150" "AVILA" "BECEDILLAS" "PSOE" 8 14.2857142857143 19764 24.1897581513757 364528 30.0245202005434
"151" "AVILA" "BECEDILLAS" "PYC(ANULADA)" 0 0 0 0 0 0
"152" "AVILA" "BECEDILLAS" "VOX" 13 23.2142857142857 14246 17.4361108391266 214223 17.6445781693615
"153" "AVILA" "BECEDILLAS" "XAV" 4 7.14285714285714 13690 16.755605600705 13861 1.14166778546431
"154" "AVILA" "BECEDILLAS" "Votos en blanco" 1 1.78571428571429 625 0.764956428081856 12153 1.00098756199031
"155" "AVILA" "BERCIAL DE ZAPARDIEL" "Cs" 5 4.27350427350427 1926 2.35728972877705 54538 4.49204802565849
