"Provincia"	"Municipio"	"Partido"	"VotosMuni"
"161"	"AVILA"	"BECEDILLAS"	"PACMA"	0
"162"	"AVILA"	"BECEDILLAS"	"Podemos"	1
"163"	"AVILA"	"BECEDILLAS"	"PP"	40
"164"	"AVILA"	"BECEDILLAS"	"PSOE"	12
"165"	"AVILA"	"BECEDILLAS"	"VOX"	4
"166"	"AVILA"	"BECEDILLAS"	"XAV"	0
"167"	"AVILA"	"BECEDILLAS"	"Votos en blanco"	1
"168"	"AVILA"	"BECEDILLAS"	"Votos nulos"	0
"169"	"AVILA"	"BERCIAL DE ZAPARDIEL"	"ÁvilaLP"	1
"170"	"AVILA"	"BERCIAL DE ZAPARDIEL"	"Cs"	18
"171"	"AVILA"	"BERCIAL DE ZAPARDIEL"	"FE de las JONS"	2
"172"	"AVILA"	"BERCIAL DE ZAPARDIEL"	"IU"	21
"173"	"AVILA"	"BERCIAL DE ZAPARDIEL"	"PACMA"	0
"174"	"AVILA"	"BERCIAL DE ZAPARDIEL"	"Podemos"	3
"175"	"AVILA"	"BERCIAL DE ZAPARDIEL"	"PP"	70
"176"	"AVILA"	"BERCIAL DE ZAPARDIEL"	"PSOE"	36
"177"	"AVILA"	"BERCIAL DE ZAPARDIEL"	"VOX"	4
"178"	"AVILA"	"BERCIAL DE ZAPARDIEL"	"XAV"	0
"179"	"AVILA"	"BERCIAL DE ZAPARDIEL"	"Votos en blanco"	3
"180"	"AVILA"	"BERCIAL DE ZAPARDIEL"	"Votos nulos"	1
"181"	"AVILA"	"BERNUY-ZAPARDIEL"	"ÁvilaLP"	0
"182"	"AVILA"	"BERNUY-ZAPARDIEL"	"Cs"	7
"183"	"AVILA"	"BERNUY-ZAPARDIEL"	"FE de las JONS"	0
"184"	"AVILA"	"BERNUY-ZAPARDIEL"	"IU"	0
"185"	"AVILA"	"BERNUY-ZAPARDIEL"	"PACMA"	0
"186"	"AVILA"	"BERNUY-ZAPARDIEL"	"Podemos"	0
"187"	"AVILA"	"BERNUY-ZAPARDIEL"	"PP"	45
"188"	"AVILA"	"BERNUY-ZAPARDIEL"	"PSOE"	16
"189"	"AVILA"	"BERNUY-ZAPARDIEL"	"VOX"	5
"190"	"AVILA"	"BERNUY-ZAPARDIEL"	"XAV"	0
"191"	"AVILA"	"BERNUY-ZAPARDIEL"	"Votos en blanco"	3
"192"	"AVILA"	"BERNUY-ZAPARDIEL"	"Votos nulos"	0
"193"	"AVILA"	"BERROCALEJO DE ARAGONA"	"ÁvilaLP"	3
"194"	"AVILA"	"BERROCALEJO DE ARAGONA"	"Cs"	3
"195"	"AVILA"	"BERROCALEJO DE ARAGONA"	"FE de las JONS"	0
"196"	"AVILA"	"BERROCALEJO DE ARAGONA"	"IU"	0
"197"	"AVILA"	"BERROCALEJO DE ARAGONA"	"PACMA"	1
"198"	"AVILA"	"BERROCALEJO DE ARAGONA"	"Podemos"	8
"199"	"AVILA"	"BERROCALEJO DE ARAGONA"	"PP"	6
"200"	"AVILA"	"BERROCALEJO DE ARAGONA"	"PSOE"	13
"201"	"AVILA"	"BERROCALEJO DE ARAGONA"	"VOX"	0
"202"	"AVILA"	"BERROCALEJO DE ARAGONA"	"XAV"	1
"203"	"AVILA"	"BERROCALEJO DE ARAGONA"	"Votos en blanco"	1
"204"	"AVILA"	"BERROCALEJO DE ARAGONA"	"Votos nulos"	0
"205"	"AVILA"	"BLASCOMILLAN"	"ÁvilaLP"	1
"206"	"AVILA"	"BLASCOMILLAN"	"Cs"	19
"207"	"AVILA"	"BLASCOMILLAN"	"FE de las JONS"	0
"208"	"AVILA"	"BLASCOMILLAN"	"IU"	0
"209"	"AVILA"	"BLASCOMILLAN"	"PACMA"	0
"210"	"AVILA"	"BLASCOMILLAN"	"Podemos"	4
"211"	"AVILA"	"BLASCOMILLAN"	"PP"	73
"212"	"AVILA"	"BLASCOMILLAN"	"PSOE"	32
"213"	"AVILA"	"BLASCOMILLAN"	"VOX"	6
"214"	"AVILA"	"BLASCOMILLAN"	"XAV"	4
"215"	"AVILA"	"BLASCOMILLAN"	"Votos en blanco"	0
"216"	"AVILA"	"BLASCOMILLAN"	"Votos nulos"	0
"217"	"AVILA"	"BLASCONUÑO DE MATACABRAS"	"ÁvilaLP"	0
"218"	"AVILA"	"BLASCONUÑO DE MATACABRAS"	"Cs"	2
"219"	"AVILA"	"BLASCONUÑO DE MATACABRAS"	"FE de las JONS"	1
"220"	"AVILA"	"BLASCONUÑO DE MATACABRAS"	"IU"	0
"221"	"AVILA"	"BLASCONUÑO DE MATACABRAS"	"PACMA"	0
"222"	"AVILA"	"BLASCONUÑO DE MATACABRAS"	"Podemos"	0
"223"	"AVILA"	"BLASCONUÑO DE MATACABRAS"	"PP"	4
"224"	"AVILA"	"BLASCONUÑO DE MATACABRAS"	"PSOE"	5
"225"	"AVILA"	"BLASCONUÑO DE MATACABRAS"	"VOX"	2
"226"	"AVILA"	"BLASCONUÑO DE MATACABRAS"	"XAV"	0
"227"	"AVILA"	"BLASCONUÑO DE MATACABRAS"	"Votos en blanco"	0
"228"	"AVILA"	"BLASCONUÑO DE MATACABRAS"	"Votos nulos"	0
"229"	"AVILA"	"BLASCOSANCHO"	"ÁvilaLP"	0
"230"	"AVILA"	"BLASCOSANCHO"	"Cs"	8
"231"	"AVILA"	"BLASCOSANCHO"	"FE de las JONS"	0
"232"	"AVILA"	"BLASCOSANCHO"	"IU"	1
"233"	"AVILA"	"BLASCOSANCHO"	"PACMA"	0
"234"	"AVILA"	"BLASCOSANCHO"	"Podemos"	7
"235"	"AVILA"	"BLASCOSANCHO"	"PP"	26
"236"	"AVILA"	"BLASCOSANCHO"	"PSOE"	27
"237"	"AVILA"	"BLASCOSANCHO"	"VOX"	3
"238"	"AVILA"	"BLASCOSANCHO"	"XAV"	3
"239"	"AVILA"	"BLASCOSANCHO"	"Votos en blanco"	0
"240"	"AVILA"	"BLASCOSANCHO"	"Votos nulos"	2
"241"	"AVILA"	"BOHOYO"	"ÁvilaLP"	0
"242"	"AVILA"	"BOHOYO"	"Cs"	23
"243"	"AVILA"	"BOHOYO"	"FE de las JONS"	0
"244"	"AVILA"	"BOHOYO"	"IU"	2
"245"	"AVILA"	"BOHOYO"	"PACMA"	0
"246"	"AVILA"	"BOHOYO"	"Podemos"	2
"247"	"AVILA"	"BOHOYO"	"PP"	61
"248"	"AVILA"	"BOHOYO"	"PSOE"	52
"249"	"AVILA"	"BOHOYO"	"VOX"	6
"250"	"AVILA"	"BOHOYO"	"XAV"	13
"251"	"AVILA"	"BOHOYO"	"Votos en blanco"	0
"252"	"AVILA"	"BOHOYO"	"Votos nulos"	2
"253"	"AVILA"	"BONILLA DE LA SIERRA"	"ÁvilaLP"	0
"254"	"AVILA"	"BONILLA DE LA SIERRA"	"Cs"	11
"255"	"AVILA"	"BONILLA DE LA SIERRA"	"FE de las JONS"	0
"256"	"AVILA"	"BONILLA DE LA SIERRA"	"IU"	0
"257"	"AVILA"	"BONILLA DE LA SIERRA"	"PACMA"	0
"258"	"AVILA"	"BONILLA DE LA SIERRA"	"Podemos"	8
"259"	"AVILA"	"BONILLA DE LA SIERRA"	"PP"	52
"260"	"AVILA"	"BONILLA DE LA SIERRA"	"PSOE"	28
"261"	"AVILA"	"BONILLA DE LA SIERRA"	"VOX"	3
"262"	"AVILA"	"BONILLA DE LA SIERRA"	"XAV"	2
"263"	"AVILA"	"BONILLA DE LA SIERRA"	"Votos en blanco"	0
"264"	"AVILA"	"BONILLA DE LA SIERRA"	"Votos nulos"	2
