Código.de.mesa;Provincia;Código..municipio;Municipio;Distrito;Sección;Mesa;Censo;Primer.Avance;Segundo.Avance;Total.Votantes;Votos.Nulos;Votos.Blanco;Partido;Nº.Votos
135;05-014-2-001-U;AVILA;14;ARENAS DE SAN PEDRO;2;1;U;520;213;269;318;3;4;XAV;13
136;05-014-2-001-U;AVILA;14;ARENAS DE SAN PEDRO;2;1;U;520;213;269;318;3;4;Cs;7
137;05-014-2-001-U;AVILA;14;ARENAS DE SAN PEDRO;2;1;U;520;213;269;318;3;4;PACMA;3
138;05-014-2-001-U;AVILA;14;ARENAS DE SAN PEDRO;2;1;U;520;213;269;318;3;4;PCAS;0
139;05-014-2-001-U;AVILA;14;ARENAS DE SAN PEDRO;2;1;U;520;213;269;318;3;4;FEdelasJONS;0
140;05-014-2-001-U;AVILA;14;ARENAS DE SAN PEDRO;2;1;U;520;213;269;318;3;4;PYC(ANULADA);0
141;05-014-3-001-U;AVILA;14;ARENAS DE SAN PEDRO;3;1;U;1082;330;511;599;12;4;PP;217
142;05-014-3-001-U;AVILA;14;ARENAS DE SAN PEDRO;3;1;U;1082;330;511;599;12;4;PSOE;189
143;05-014-3-001-U;AVILA;14;ARENAS DE SAN PEDRO;3;1;U;1082;330;511;599;12;4;VOX;78
144;05-014-3-001-U;AVILA;14;ARENAS DE SAN PEDRO;3;1;U;1082;330;511;599;12;4;Podemos;58
145;05-014-3-001-U;AVILA;14;ARENAS DE SAN PEDRO;3;1;U;1082;330;511;599;12;4;XAV;23
146;05-014-3-001-U;AVILA;14;ARENAS DE SAN PEDRO;3;1;U;1082;330;511;599;12;4;Cs;13
147;05-014-3-001-U;AVILA;14;ARENAS DE SAN PEDRO;3;1;U;1082;330;511;599;12;4;PACMA;5
148;05-014-3-001-U;AVILA;14;ARENAS DE SAN PEDRO;3;1;U;1082;330;511;599;12;4;PYC(ANULADA);0
149;05-014-3-001-U;AVILA;14;ARENAS DE SAN PEDRO;3;1;U;1082;330;511;599;12;4;PCAS;0
150;05-014-3-001-U;AVILA;14;ARENAS DE SAN PEDRO;3;1;U;1082;330;511;599;12;4;FEdelasJONS;0
151;05-014-1-002-U;AVILA;14;ARENAS DE SAN PEDRO;1;2;U;511;205;263;302;6;2;PSOE;121
152;05-014-1-002-U;AVILA;14;ARENAS DE SAN PEDRO;1;2;U;511;205;263;302;6;2;PP;112
153;05-014-1-002-U;AVILA;14;ARENAS DE SAN PEDRO;1;2;U;511;205;263;302;6;2;Podemos;24
